Section Number,Title,Text Preview,Suggested Tags,Reason
11B-222.2,Coat hooks and shelves,"Coat hooks and shelves Where coat hooks or shelves are provided in dressing, fitting or locker rooms without individual compartments, at lea…",NONE,Skipped: definitional/scoping
11B-222.3,Mirrors,"Mirrors Where mirrors are provided in dressing, fitting or locker rooms without individual compartments, at least one of each type shall com…",NONE,Skipped: definitional/scoping
11B-223,Medical care facilities,,NONE,Skipped: definitional/scoping
11B-223.1,Toilet and bathing facilities,Toilet and bathing facilities Toilet/bathing rooms which are part of patient bedrooms added or altered and required to be accessible shall c…,bathrooms,keywords:bathrooms
11B-223.2,On-call rooms,"On-call rooms Where physician or staff on-call sleeping rooms are provided, at least 10 percent, but no fewer than one, of the on-call rooms…",NONE,Skipped: definitional/scoping
11B-223.3,Long-term care facilities,"Long-term care facilities In licensed long-term care facilities, including skilled nursing facilities, intermediate care facilities and nurs…",NONE,Skipped: definitional/scoping
11B-223.4,Professional offices of health care providers,Professional offices of health care providers Professional offices of health care providers shall comply with Section 11B-805. Professional …,NONE,Skipped: definitional/scoping
11B-224,Alterations,,NONE,Skipped: definitional/scoping
11B-224.1,Guest room toilet and bathing rooms,Guest room toilet and bathing rooms In transient lodging facilities where toilet and bathing rooms are provided in guest rooms that are not …,bathrooms,keywords:bathrooms
11B-224.2,More than fifty guest room facilities,More than fifty guest room facilities Facilities with more than fifty guest rooms shall be treated separately for the purposes of determinin…,NONE,Skipped: definitional/scoping
11B-224.3,Beds,"Beds In guest rooms having more than 25 beds, 5 percent minimum of the beds shall have clear floor space complying with Section 11B-806.2.3.…",NONE,Skipped: definitional/scoping
11B-224.4,Guest rooms with communication features,"Guest rooms with communication features In transient lodging facilities, guest rooms with communication features complying with Section 11B-…",NONE,Skipped: definitional/scoping
11B-224.5,Dispersion,Dispersion Guest rooms required to provide mobility features complying with Section 11B-806.2 and guest rooms required to provide communicat…,NONE,Skipped: definitional/scoping
11B-224.6,Storage,Storage Fixed or built-in storage facilities within guest rooms required to provide mobility features shall comply with Section 11B-225. Fix…,NONE,Skipped: definitional/scoping
11B-224.7,Accessible dwelling units with adaptable features,Accessible dwelling units with adaptable features Accessible dwelling units with adaptable features shall be provided as required by Section…,NONE,Skipped: definitional/scoping
11B-224.8,More than 50-bed facilities,More than 50-bed facilities Facilities with more than 50 beds that provide common use bathing facilities shall provide at least one roll-in …,bathrooms,keywords:bathrooms
11B-225,General,,NONE,Skipped: definitional/scoping
11B-225.1,General,General Storage facilities shall comply with Section 11B-225. Storage facilities shall comply with Section 11B-225.,NONE,Skipped: definitional/scoping
11B-225.2,Library book stacks,Library book stacks Book stacks available for public use shall be 54 inches (1372 mm) maximum above the finish floor. Exceptions: 1. Book st…,NONE,Skipped: definitional/scoping
11B-225.3,Dispersion,Dispersion Individual self-service storage spaces shall be dispersed throughout the various classes of spaces provided. Where more classes o…,NONE,Skipped: definitional/scoping
11B-226,DINING SURFACES AND WORK SURFACES,,NONE,Skipped: definitional/scoping
11B-226.1,General,"General Where dining surfaces are provided for the consumption of food or drink, at least 5 percent of the seating spaces and standing space…",NONE,Skipped: definitional/scoping
11B-226.2,Dispersion,Dispersion Dining surfaces required to comply with Section 11B-902 shall be dispersed throughout the space or facility containing dining sur…,NONE,Skipped: definitional/scoping
11B-226.3,Dining surfaces exceeding 34 inches in height,Dining surfaces exceeding 34 inches in height Where food or drink is served for consumption at a counter exceeding 34 inches (864 mm) in hei…,NONE,Skipped: definitional/scoping
11B-226.4,Baby diaper changing station,Baby diaper changing station Baby diaper changing stations shall comply with Sections 11B-309 and 11B-902. Baby diaper changing stations whe…,bathrooms,keywords:bathrooms
11B-227,SALES AND SERVICE,,NONE,Skipped: definitional/scoping
11B-227.1,General,"General Where provided, check-out aisles, sales counters, service counters, food service lines, queues and waiting lines shall comply with S…",NONE,Skipped: definitional/scoping
11B-227.2,Altered check-out aisles,"Altered check-out aisles Where check-out aisles are altered, at least one of each check-out aisle serving each function shall comply with Se…",NONE,Skipped: definitional/scoping
11B-227.3,Counters,"Counters Where provided, at least one of each type of sales counter and service counter shall comply with Section 11B-904.4. Where counters …",NONE,Skipped: definitional/scoping
11B-227.4,Food service lines,"Food service lines Food service lines shall comply with Section 11B-904.5. Where self-service shelves are provided, at least 50 percent, but…",NONE,Skipped: definitional/scoping
11B-227.5,Queues and waiting lines,Queues and waiting lines Queues and waiting lines servicing counters or check-out aisles required to comply with Sections 11B-904.3 or 11B-9…,NONE,Skipped: definitional/scoping
11B-228,General,,NONE,Skipped: definitional/scoping
11B-228.1,General,"General Where provided, at least one of each type of depository, vending machine, change machine and fuel dispenser shall comply with Sectio…",NONE,Skipped: definitional/scoping
11B-228.2,Mail boxes,"Mail boxes Where mail boxes are provided in an interior location, at least 5 percent, but no fewer than one, of each type shall comply with …",NONE,Skipped: definitional/scoping
11B-228.3,Public use or common use EVCS,"Public use or common use EVCS Where EVCS are provided for public use or common use, EVCS complying with Section 11B-812 shall be provided in…",NONE,Skipped: definitional/scoping
11B-229,WINDOWS,,NONE,Skipped: definitional/scoping
11B-229.1,General,"General Where glazed openings are provided in accessible rooms or spaces for operation by occupants, at least one opening shall comply with …",NONE,Skipped: definitional/scoping
11B-230,TWO-WAY COMMUNICATION SYSTEMS,,NONE,Skipped: definitional/scoping
11B-230.1,General,General Where a two-way communication system is provided to gain admittance to a building or facility or to restricted areas within a buildi…,NONE,Skipped: definitional/scoping
11B-231,General,,NONE,Skipped: definitional/scoping
11B-231.1,General,General Judicial facilities shall comply with Section 11B-231. Judicial facilities shall comply with Section 11B-231.,NONE,Skipped: definitional/scoping
11B-231.2,Courtrooms,Courtrooms Each courtroom shall comply with Section 11B-808. Each courtroom shall comply with Section 11B-808.,NONE,Skipped: definitional/scoping
11B-231.3,Court-floor holding cells,"Court-floor holding cells Where separate court-floor holding cells are provided for adult male, juvenile male, adult female or juvenile fema…",NONE,Skipped: definitional/scoping
11B-231.4,Partitions,Partitions Where solid partitions or security glazing separate visitors from detainees at least one of each type of cubicle or counter parti…,NONE,Skipped: definitional/scoping
11B-232,General,,NONE,Skipped: definitional/scoping
11B-232.1,General,"General Buildings, facilities, or portions thereof, in which people are detained for penal or correction purposes, or in which the liberty o…",NONE,Skipped: definitional/scoping
11B-232.2,Cells with communication features,"Cells with communication features At least 2 percent, but no fewer than one, of the total number of general holding cells and general housin…",NONE,Skipped: definitional/scoping
11B-232.3,Special holding cells and special housing cells,"Special holding cells and special housing cells Where special holding cells or special housing cells are provided, at least one cell serving…",NONE,Skipped: definitional/scoping
11B-232.4,Medical care facilities,Medical care facilities Patient bedrooms or cells required to comply with Section 11B-223 shall be provided in addition to any medical isola…,NONE,Skipped: definitional/scoping
11B-232.5,Partitions,Partitions Where solid partitions or security glazing separate visitors from detainees or inmates at least one of each type of cubicle or co…,NONE,Skipped: definitional/scoping
11B-233,General,,NONE,Skipped: definitional/scoping
11B-233.1,General,"General Public housing facilities with residential dwelling units shall comply with Section 11B-233. See Chapter 2, Section 202 of this code…",NONE,Skipped: definitional/scoping
11B-233.2,Reserved.,Reserved.,NONE,Skipped: definitional/scoping
11B-233.3,Graduate student and faculty housing at a place of education,"Graduate student and faculty housing at a place of education Housing facilities that are provided by or on behalf of a place of education, w…",NONE,Skipped: definitional/scoping
11B-234,AMUSEMENT RIDES,,NONE,Skipped: definitional/scoping
11B-234.1,General,General Amusement rides shall comply with Section 11B-234. Exception: Mobile or portable amusement rides shall not be required to comply wit…,NONE,Skipped: definitional/scoping
11B-234.2,Load and unload areas,Load and unload areas Load and unload areas serving amusement rides shall comply with Section 11B-1002.3. Load and unload areas serving amus…,NONE,Skipped: definitional/scoping
11B-234.3,Minimum number,"Minimum number Amusement rides shall provide at least one wheelchair space complying with Section 11B-1002.4, or at least one amusement ride…",NONE,Skipped: definitional/scoping
11B-234.4,Minimum number,Minimum number Where the structural or operational characteristics of an amusement ride are altered to the extent that the amusement ride’s …,NONE,Skipped: definitional/scoping
11B-235,General,,NONE,Skipped: definitional/scoping
11B-235.1,General,General Recreational boating facilities shall comply with Section 11B-235. Recreational boating facilities shall comply with Section 11B-235…,NONE,Skipped: definitional/scoping
11B-235.2,Dispersion,Dispersion Boat slips complying with Section 11B-1003.3.1 shall be dispersed throughout the various types of boat slips provided. Where the …,NONE,Skipped: definitional/scoping
11B-235.3,Boarding piers at boat launch ramps,"Boarding piers at boat launch ramps Where boarding piers are provided at boat launch ramps, at least 5 percent, but no fewer than one, of th…",NONE,Skipped: definitional/scoping
11B-236,EXERCISE MACHINES AND EQUIPMENT,,NONE,Skipped: definitional/scoping
11B-236.1,General,General At least one of each type of exercise machine and equipment shall comply with Section 11B-1004. At least one of each type of exercis…,NONE,Skipped: definitional/scoping
11B-237,FISHING PIERS AND PLATFORMS,,NONE,Skipped: definitional/scoping
11B-237.1,General,General Fishing piers and platforms shall comply with Section 11B-1005. Fishing piers and platforms shall comply with Section 11B-1005.,NONE,Skipped: definitional/scoping
11B-238,General,,NONE,Skipped: definitional/scoping
11B-238.1,General,General Golf facilities shall comply with Section 11B-238. Golf facilities shall comply with Section 11B-238.,NONE,Skipped: definitional/scoping
11B-238.2,Weather shelters,"Weather shelters Where provided, weather shelters shall be designed and constructed so that a golf car can enter and exit the weather shelte…",NONE,Skipped: definitional/scoping
11B-238.3,"Practice putting greens, practice teeing grounds and teeing stations at driving ranges","Practice putting greens, practice teeing grounds and teeing stations at driving ranges At least 5 percent, but no fewer than one, of practic…",NONE,Skipped: definitional/scoping
11B-239,General,,NONE,Skipped: definitional/scoping
11B-239.1,General,General Miniature golf facilities shall comply with Section 11B-239. Miniature golf facilities shall comply with Section 11B-239.,NONE,Skipped: definitional/scoping
11B-239.2,Minimum number,Minimum number At least 50 percent of holes on miniature golf courses shall comply with Section 11B-1007.3. At least 50 percent of holes on …,NONE,Skipped: definitional/scoping
11B-239.3,Miniature golf course configuration,Miniature golf course configuration Miniature golf courses shall be configured so that the holes complying with Section 11B-1007.3 are conse…,NONE,Skipped: definitional/scoping
11B-240,PLAY AREAS,,NONE,Skipped: definitional/scoping
11B-240.1,Additions,"Additions Where play areas are designed and constructed in phases, the requirements of Section 11B-240 shall apply to each successive additi…",NONE,Skipped: definitional/scoping
11B-240.2,Elevated play components,"Elevated play components Where elevated play components are provided, at least 50 percent shall be on an accessible route and shall comply w…",NONE,Skipped: definitional/scoping
11B-241,SAUNAS AND STEAM ROOMS,,NONE,Skipped: definitional/scoping
11B-241.1,General,"General Where provided, saunas and steam rooms shall comply with Section 11B-612. Exception: Where saunas or steam rooms are clustered at a …",NONE,Skipped: definitional/scoping
11B-242,General,,NONE,Skipped: definitional/scoping
11B-242.1,General,"General Swimming pools, wading pools and spas shall comply with Section 11B-242. Swimming pools, wading pools and spas shall comply with Sec…",NONE,Skipped: definitional/scoping
11B-242.2,Swimming pools,Swimming pools At least two accessible means of entry shall be provided for swimming pools. Accessible means of entry shall be swimming pool…,NONE,Skipped: definitional/scoping
11B-242.3,Wading pools,Wading pools At least one accessible means of entry shall be provided for wading pools. Accessible means of entry shall comply with sloped e…,NONE,Skipped: definitional/scoping
11B-242.4,Spas,Spas At least one accessible means of entry shall be provided for spas. Accessible means of entry shall comply with swimming pool lifts comp…,NONE,Skipped: definitional/scoping
11B-243,SHOOTING FACILITIES WITH FIRING POSITIONS,,NONE,Skipped: definitional/scoping
11B-243.1,General,"General Where shooting facilities with firing positions are designed and constructed at a site, at least 5 percent, but no fewer than one, o…",NONE,Skipped: definitional/scoping
11B-244,General,,NONE,Skipped: definitional/scoping
11B-244.1,General,General Religious facilities shall be accessible in accordance with the provisions of this code. Where specific areas within religious facil…,NONE,Skipped: definitional/scoping
11B-245,General,,NONE,Skipped: definitional/scoping
11B-245.1,General,General Public accommodations located in private residences shall comply with Section 11B-245. Public accommodations located in private resi…,NONE,Skipped: definitional/scoping
11B-245.2,Application,"Application When a public accommodation is located in a private residence, that portion used exclusively in the operation of the public acco…",NONE,Skipped: definitional/scoping
11B-245.3,Accessible elements required,"Accessible elements required The accessible portion of the residence extends to those elements used to enter the public accommodation, inclu…",NONE,Skipped: definitional/scoping
11B-246,General,,NONE,Skipped: definitional/scoping
11B-246.1,General,"General Outdoor developed areas shall comply with Section 11B-246. Exceptions: 1. Where the enforcing agency finds that, in specific areas, …",NONE,Skipped: definitional/scoping
11B-246.2,Camping facilities,"Camping facilities In camping facilities where campsites are provided, at least two campsites and one additional campsite for each 100 camps…",bathrooms,keywords:bathrooms
11B-246.3, Beaches,Beaches Beaches shall be accessible. Beaches shall be accessible.,NONE,Skipped: definitional/scoping
11B-246.4, Day use areas and vista points,"Day use areas and vista points Day use areas, vista points and similar areas shall be accessible. Day use areas, vista points and similar ar…",NONE,Skipped: definitional/scoping
11B-246.5, Picnic areas,"Picnic areas Where picnic tables are provided, at least one picnic table, and one additional table for each 20 tables or fraction thereof, s…",NONE,Skipped: definitional/scoping
11B-246.6, Parking lots,"Parking lots Parking lots shall comply with Sections 11B-208 and 11B-502 and shall be provided with curb cuts leading to adjacent walks, pat…",NONE,Skipped: definitional/scoping
11B-246.7, Trails and paths,"Trails and paths Trails, paths and nature walk areas, or portions of them, shall be constructed with gradients permitting at least partial u…",NONE,Skipped: definitional/scoping
11B-246.8, Nature trails,Nature trails Nature trails and similar educational and informational areas shall be accessible to individuals with vision impairments by th…,NONE,Skipped: definitional/scoping
11B-247,Detectable warnings,,NONE,Skipped: definitional/scoping
11B-247.1, Track crossings,"Track crossings Where it is necessary to cross tracks to reach transit boarding platforms, detectable warnings complying with Sections 11B-7…",NONE,Skipped: definitional/scoping
11B-247.2, Detectable directional texture,"Detectable directional texture At transit boarding platforms, the pedestrian access shall be identified with a detectable directional textur…",NONE,Skipped: definitional/scoping
11B-248,Common use areas,,NONE,Skipped: definitional/scoping
11B-248.1, Common use areas,Common use areas Common use areas shall comply with this chapter. Common use areas shall comply with this chapter.,NONE,Skipped: definitional/scoping
11B-248.2, Employee work areas,Employee work areas Employee work areas shall comply with this chapter. Employee work areas shall comply with this chapter.,NONE,Skipped: definitional/scoping
11B-249,General.,,NONE,Skipped: definitional/scoping
11B-249.1, General.,"General. Adult changing facilities shall comply with Section 11B-249. Where adult changing facilities are provided, each adult changing faci…",NONE,Skipped: definitional/scoping
11B-250,General.,,NONE,Skipped: definitional/scoping
11B-250.1, General.,General. Circulation paths contiguous to vehicular traffic shall be physically separated from vehicular traffic. Vehicular traffic includes …,NONE,Skipped: definitional/scoping
11B-301,GENERAL,,NONE,no match
11B-301.1,Scope,Scope The provisions of Division 3 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provis…,NONE,Skipped: definitional/scoping
11B-302,Clearance.,,NONE,no match
11B-302.1,General,"General Floor and ground surfaces shall be stable, firm and slip resistant and shall comply with Section 11B-302. Exceptions: 1. Within anim…",NONE,no match
11B-302.2,Carpet,"Carpet Carpet or carpet tile shall be securely attached and shall have a firm cushion, pad, or backing or no cushion or pad. Carpet or carpe…",NONE,no match
11B-302.3,Openings,Openings Openings in floor or ground surfaces shall not allow passage of a sphere more than 1/2 inch (12.7 mm) diameter except as allowed in…,NONE,no match
11B-303,Thresholds.,,NONE,no match
11B-303.1,General,"General Where changes in level are permitted in floor or ground surfaces, they shall comply with Section 11B-303. Exceptions: 1. Animal cont…",NONE,no match
11B-303.2,Vertical,Vertical Changes in level of 1/4 inch (6.4 mm) high maximum shall be permitted to be vertical and without edge treatment. FIGURE 11B-303.2—V…,NONE,no match
11B-303.3,Beveled,Beveled Changes in level between 1/4 inch (6.4 mm) high minimum and 1/2 inch (12.7 mm) high maximum shall be beveled with a slope not steepe…,NONE,no match
11B-303.4,Ramps,"Ramps Changes in level greater than 1/2 inch (12.7 mm) high shall be ramped, and shall comply with Section 11B-405 or 11B-406. Changes in le…",NONE,no match
11B-303.5,Warning curbs,"Warning curbs Abrupt changes in level exceeding 4 inches (102 mm) in a vertical dimension between walks, sidewalks or other pedestrian ways …",NONE,no match
11B-304,Turning space.,,NONE,no match
11B-304.1,General,General Turning space shall comply with Section 11B-304. Turning space shall comply with Section 11B-304.,NONE,no match
11B-304.2,Floor or ground surfaces,"Floor or ground surfaces Floor or ground surfaces of a turning space shall comply with Section 11B-302. Changes in level, slopes exceeding 1…",NONE,no match
11B-304.3,T-Shaped space,T-Shaped space The turning space shall be a T-shaped space within a 60 inch (1524 mm) square minimum with arms and base 36 inches (914 mm) w…,NONE,no match
11B-304.4,Door swing,Door swing Doors shall be permitted to swing into turning spaces. Doors shall be permitted to swing into turning spaces.,doors,keywords:doors
11B-305,Parallel approach.,,NONE,no match
11B-305.1,General,General Clear floor or ground space shall comply with Section 11B-305. Clear floor or ground space shall comply with Section 11B-305.,NONE,no match
11B-305.2,Floor or ground surfaces,"Floor or ground surfaces Floor or ground surfaces of a clear floor or ground space shall comply with Section 11B-302. Changes in level, slop…",NONE,no match
11B-305.3,Size,Size The clear floor or ground space shall be 30 inches (762 mm) minimum by 48 inches (1219 mm) minimum. FIGURE 11B-305.3— CLEAR FLOOR OR GR…,NONE,no match
11B-305.4,Knee and toe clearance,"Knee and toe clearance Unless otherwise specified, clear floor or ground space shall be permitted to include knee and toe clearance complyin…",NONE,no match
11B-305.5,Position,"Position Unless otherwise specified, clear floor or ground space shall be positioned for either forward or parallel approach to an element. …",NONE,no match
11B-305.6,Approach,Approach One full unobstructed side of the clear floor or ground space shall adjoin an accessible route or adjoin another clear floor or gro…,NONE,no match
11B-305.7,Parallel approach,Parallel approach Alcoves shall be 60 inches (1524 mm) wide minimum where the depth exceeds 15 inches (381 mm). FIGURE 11B-305.7.2— MANEUVER…,NONE,no match
11B-306,Knee and toe clearance.,,NONE,no match
11B-306.1,General,"General Where space beneath an element is included as part of clear floor or ground space or turning space, the space shall comply with Sect…",NONE,no match
11B-306.2,Width,Width Toe clearance shall be 30 inches (762 mm) wide minimum. Toe clearance shall be 30 inches (762 mm) wide minimum.,NONE,no match
11B-306.3,Width,Width Knee clearance shall be 30 inches (762 mm) wide minimum. Knee clearance shall be 30 inches (762 mm) wide minimum.,NONE,no match
11B-307,General,,NONE,no match
11B-307.1,General,General Protruding objects shall comply with Section 11B-307. Protruding objects shall comply with Section 11B-307.,NONE,no match
11B-307.2,Protrusion limits,Protrusion limits Objects with leading edges more than 27 inches (686 mm) and not more than 80 inches (2032 mm) above the finish floor or gr…,NONE,no match
11B-307.3,Edges and corners,"Edges and corners Where signs or other objects are mounted on posts or pylons, and their bottom edges are less than 80 inches (2032 mm) abov…",NONE,no match
11B-307.4,Guy braces,Guy braces Where a guy support is used within either the width of a circulation path or 24 inches (610 mm) maximum outside of a circulation …,NONE,no match
11B-307.5,Required clear width,Required clear width Protruding objects shall not reduce the clear width required for accessible routes. Protruding objects shall not reduce…,NONE,no match
11B-308,Self-service shelves and dispensing devices.,,NONE,no match
11B-308.1,Electrical receptacle outlets,Electrical receptacle outlets Electrical receptacle outlets on branch circuits of 30 amperes or less and communication system receptacles sh…,NONE,no match
11B-308.2,Obstructed high reach,"Obstructed high reach Where a high forward reach is over an obstruction, the clear floor space shall extend beneath the element for a distan…",NONE,no match
11B-308.3,Obstructed high reach,Obstructed high reach Where a clear floor or ground space allows a parallel approach to an element and the high side reach is over an obstru…,NONE,no match
11B-308.4,Suggested reach ranges for children,"Suggested reach ranges for children Where building elements such as coat hooks, lockers or operable parts are designed for use primarily by …",NONE,no match
11B-309,Height and operation.,,NONE,no match
11B-309.1,General,General Operable parts shall comply with Section 11B-309. Operable parts shall comply with Section 11B-309.,NONE,no match
11B-309.2,Clear floor space,Clear floor space A clear floor or ground space complying with Section 11B-305 shall be provided. A clear floor or ground space complying wi…,NONE,no match
11B-309.3,Height,Height Operable parts shall be placed within one or more of the reach ranges specified in Section 11B-308. Operable parts shall be placed wi…,NONE,no match
11B-309.4,Operation,"Operation Operable parts shall be operable with one hand and shall not require tight grasping, pinching or twisting of the wrist. The force …",NONE,no match
11B-401,GENERAL,,NONE,no match
11B-401.1,Scope,Scope The provisions of Division 4 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provis…,NONE,Skipped: definitional/scoping
11B-402,Accessible route to EV charger.,,NONE,no match
11B-402.1,General,General Accessible routes shall comply with 11B-402. Accessible routes shall comply with 11B-402.,NONE,no match
11B-402.2,Components,Components Accessible routes shall consist of one or more of the following components: walking surfaces with a running slope not steeper tha…,NONE,no match
11B-403,Aisle.,,NONE,no match
11B-403.1,General,General Walking surfaces that are a part of an accessible route shall comply with Section 11B-403. Walking surfaces that are a part of an ac…,NONE,no match
11B-403.2,Floor or ground surface,Floor or ground surface Floor or ground surfaces shall comply with Section 11B-302. Floor or ground surfaces shall comply with Section 11B-3…,NONE,no match
11B-403.3,Slope,Slope The running slope of walking surfaces shall not be steeper than 1:20. The cross slope of walking surfaces shall not be steeper than 1:…,NONE,no match
11B-403.4,Changes in level,Changes in level Changes in level shall comply with Section 11B-303. Changes in level shall comply with Section 11B-303.,NONE,no match
11B-403.5,Passing spaces,Passing spaces An accessible route with a clear width less than 60 inches (1524 mm) shall provide passing spaces at intervals of 200 feet (6…,NONE,no match
11B-403.6,Handrails,Handrails Where handrails are provided along walking surfaces with running slopes not steeper than 1:20 they shall comply with Section 11B-5…,NONE,no match
11B-403.7,Continuous gradient,"Continuous gradient All walks with continuous gradients shall have resting areas, 60 inches (1524 mm) in length, at intervals of 400 feet (1…",NONE,no match
11B-404,Doors.,,doors,anchors:doors
11B-404.1,General,"General Doors, doorways and gates that are part of an accessible route shall comply with Section 11B-404. Exceptions: 1. Doors, doorways and…",doors,anchors:doors;keywords:doors
11B-404.2,Vision lights,"Vision lights Doors, gates and side lights adjacent to doors or gates, containing one or more glazing panels that permit viewing through the…",doors,anchors:doors;keywords:doors
11B-404.3,"Revolving doors, revolving gates and turnstiles","Revolving doors, revolving gates and turnstiles Revolving doors, revolving gates and turnstiles shall not be part of an accessible route. Re…",doors,anchors:doors;keywords:doors
11B-405,Floor or ground surface.,,NONE,no match
11B-405.1,General,"General Ramps on accessible routes shall comply with Section 11B-405. Exception: In assembly areas, aisle ramps adjacent to seating and not …",NONE,no match
11B-405.10,Wet conditions,Wet conditions Landings subject to wet conditions shall be designed to prevent the accumulation of water. Landings subject to wet conditions…,NONE,no match
11B-405.2,Slope,Slope Ramp runs shall have a running slope not steeper than 1:12. Exception: Reserved. Ramp runs shall have a running slope not steeper than…,NONE,no match
11B-405.3,Cross slope,Cross slope Cross slope of ramp runs shall not be steeper than 1:48. Cross slope of ramp runs shall not be steeper than 1:48.,NONE,no match
11B-405.4,Floor or ground surfaces,Floor or ground surfaces Floor or ground surfaces of ramp runs shall comply with Section 11B-302. Changes in level other than the running sl…,NONE,no match
11B-405.5,Clear width,"Clear width The clear width of a ramp run shall be 48 inches (1219 mm) minimum. Exceptions: 1. Within employee work areas, the required clea…",NONE,no match
11B-405.6,Rise,Rise The rise for any ramp run shall be 30 inches (762 mm) maximum. The rise for any ramp run shall be 30 inches (762 mm) maximum.,NONE,no match
11B-405.7,Doorways,"Doorways Where doorways are located adjacent to a ramp landing, maneuvering clearances required by Sections 11B-404.2.4 and 11B-404.3.2 shal…",NONE,no match
11B-405.8,Handrails,Handrails Ramp runs shall have handrails complying with Section 11B-505. Exceptions: 1. Reserved. 2. Reserved. 3. Curb ramps do not require …,NONE,no match
11B-405.9,Curb or barrier,"Curb or barrier A curb or barrier shall be provided that prevents the passage of a 4-inch (102 mm) diameter sphere, where any portion of the…",NONE,no match
11B-406,General,,NONE,no match
11B-406.1,Islands,Islands Islands shall comply with Section 11B-406.6. Islands shall comply with Section 11B-406.6.,NONE,no match
11B-406.2,Sides of curb ramps,"Sides of curb ramps Where provided, curb ramp flares shall not be steeper than 1:10. FIGURE 11B-406.2.2— SIDES OF CURB RAMPS Where provided,…",NONE,no match
11B-406.3,Turning space,Turning space A turning space 48 inches (1219 mm) minimum by 48 inches (1219 mm) minimum shall be provided at the bottom of the curb ramp. T…,NONE,no match
11B-406.4,Slope,Slope Blended transitions shall have a running slope not steeper than 1:20. Blended transitions shall have a running slope not steeper than …,NONE,no match
11B-406.5,Detectable warnings,Detectable warnings Curb ramps and blended transitions shall have detectable warnings complying with Section 11B-705. Curb ramps and blended…,NONE,no match
11B-406.6,Islands,Islands Raised islands in crossings shall be cut through level with the street or have curb ramps at both sides. The clear width of the acce…,NONE,no match
11B-407,Combined passenger and freight elevators,,NONE,no match
11B-407.1,Combined passenger and freight elevators,Combined passenger and freight elevators When the only elevators provided for use by the public and employees are combination passenger and …,NONE,no match
11B-407.2,Floor designation,Floor designation Floor designations complying with Sections 11B-703.2 and 11B-703.4.1 shall be provided on both jambs of elevator hoistway …,NONE,no match
11B-407.3,Width,"Width The width of elevator doors shall comply with Table 11B-407.4.1. Exception: In existing elevators, a power-operated car door complying…",NONE,no match
11B-407.4,Structural strength.,Structural strength. Allowable stresses shall not be exceeded for materials used when a vertical or horizontal force of 250 pounds (1112 N) …,NONE,no match
11B-408,General.,,NONE,no match
11B-408.1,General.,General. Limited-use/limited-application elevators shall comply with Section 11B-408 and with ASME A17.1. They shall be passenger elevators …,NONE,no match
11B-408.2,Hoistway signs.,Hoistway signs. Signs at elevator hoist ways shall comply with Section 11B-407.2.3.1. Signs at elevator hoist ways shall comply with Section…,NONE,no match
11B-408.3,Duration.,Duration. Power-operated swinging doors shall remain open for 20 seconds minimum when activated. Power-operated swinging doors shall remain …,NONE,no match
11B-408.4,Emergency communications.,Emergency communications. Car emergency signaling devices complying with Section 11B-407.4.9 shall be provided. Car emergency signaling devi…,NONE,no match
11B-409,General.,,NONE,no match
11B-409.1,General.,General. Private residence elevators that are provided within a residential dwelling unit required to provide mobility features complying wi…,NONE,no match
11B-409.2,Call buttons.,Call buttons. Call buttons shall be 3/4 inch (19.1 mm) minimum in the smallest dimension and shall comply with Section 11B-309. Call buttons…,NONE,no match
11B-409.3,Location.,Location. Elevator car doors or gates shall be positioned at the narrow end of the clear floor spaces required by Section 11B-409.4.1. Eleva…,doors,keywords:doors
11B-409.4,Cord.,Cord. The telephone cord shall be 29 inches (737 mm) long minimum. The telephone cord shall be 29 inches (737 mm) long minimum.,NONE,no match
11B-410,PLATFORM LIFTS,,NONE,no match
11B-410.1,General.,General. Platform lifts shall comply with ASME A18.1. Platform lifts shall not be attendant-operated and shall provide unassisted entry and …,NONE,no match
11B-410.2,Floor surfaces.,Floor surfaces. Floor surfaces in platform lifts shall comply with Sections 11B-302 and 11B-303. Floor surfaces in platform lifts shall comp…,NONE,no match
11B-410.3,Clear floor space.,Clear floor space. Clear floor space in platform lifts shall comply with Section 11B-305. Clear floor space in platform lifts shall comply w…,NONE,no match
11B-410.4,Platform to runway clearance.,Platform to runway clearance. The clearance between the platform sill and the edge of any runway landing shall be 11/4 inch (32 mm) maximum.…,NONE,no match
11B-410.5,Operable parts.,Operable parts. Controls for platform lifts shall comply with Section 11B-309. Controls for platform lifts shall comply with Section 11B-309…,NONE,no match
11B-410.6,Doors and gates.,Doors and gates. Platform lifts shall have low-energy power-operated doors or gates complying with Section 11B-404.3. Doors shall remain ope…,doors,keywords:doors
11B-410.7,Landing size.,Landing size. The minimum size of landings at platform lifts shall be 60 inches by 60 inches (1524 mm by 1524 mm). The minimum size of landi…,NONE,no match
11B-410.8,Restriction sign.,Restriction sign. A sign complying with Section 11B-703.5 shall be posted in a conspicuous place at each landing and within the platform enc…,NONE,no match
11B-411,General.,,NONE,no match
11B-411.1,Car designations.,Car designations. Elevator cars shall be designated with a single alphabetic character. For elevators programmed to the same hall call conso…,NONE,no match
11B-411.2,Car designation signs.,Car designation signs. Car designation signs complying with Sections 11B-703.2 and 11B-703.4.1 shall be provided on both jambs of the hoistw…,NONE,no match
